Department/Ministry,Fund allotted(in Crores)
MINISTRY OF AGRICULTURE,124000.00
DEPARTMENT OF ATOMIC ENERGY,32342.00
"MINISTRY OF AYURVEDA, YOGA",3050.00
MINISTRY OF CHEMICALS AND FERTILISER,83500.00
MINISTRY OF CIVIL AVIATION ,601.00
MINISTRY OF COAL,393.00
MINISTRY OF COMMERCE AND INDUSTRY,2791.29
MINISTRY OF COMMUNICATION,52806.00
MINISTRY OF CONSUMER AFFAIRS,215960.00
MINISTRY OF CORPORATE AFFAIRS,860.43
MINISTRY OF CULTURE ,3009.05
MINISTRY OF DEFENCE ,525166.00
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION ,6600.00
MINISTRY OF EARTH SCIENCES ,2369.54
MINISTRY OF EDUCATION,104277.00
MINISTRY OF ELECTRONICS AND INFORMATION TECHNO...,11131.00
"MINISTRY OF ENVIRONMENT, FOREST ",220.00
MINISTRY OF EXTERNAL AFFAIRS ,8133.00
MINISTRY OF FINANCE,15000.00
"MINISTRY OF FISHERIES, ANIMAL HUSBANDRY",4288.84
MINISTRY OF FOOD PROCESSING INDUSTRIES,1308.66
MINISTRY OF HEALTH AND FAMILY WELFARE,36576.00
MINISTRY OF HEAVY INDUSTRIES,910.00
MINISTRY OF HOME AFFAIRS,185777.00
MINISTRY OF HOUSING AND URBAN AFFAIRS,76549.00
MINISTRY OF INFORMATION AND BROADCASTING ,3980.00
MINISTRY OF JAL SHAKTI,60000.00
MINISTRY OF LABOUR AND EMPLOYMENT ,16893.00
MINISTRY OF LAW AND JUSTICE ,4054.94
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",6000.00
MINISTRY OF MINES  ,644.10
MINISTRY OF MINORITY AFFAIR ,5020.00
MINISTRY OF NEW AND RENEWABLE ENERGY,3365.00
MINISTRY OF PANCHAYATI RAJ,678.20
MINISTRY OF PARLIAMENTARY AFFAIRS,32154.00
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",2058.57
MINISTRY OF PETROLEUM AND NATURAL GAS,8940.00
MINISTRY OF PLANNING,321.42
"MINISTRY OF PORTS, SHIPPING",350000.00
MINISTRY OF POWER,1069.43
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVIC?",3483236.00
MINISTRY OF RAILWAYS  ,140367.13
MINISTRY OF ROAD TRANSPORT AND HIGHWAY ,68000.00
MINISTRY OF RURAL DEVELOPMENT,131519.00
MINISTRY OF SCIENCE AND TECHNOLOGY,14217.00
MINISTRY OF SKILL DEVELOPMENT,40828.35
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT ,56.00
DEPARTMENT OF SPACE ,13700.00
MINISTRY OF STATISTICS,2435.34
MINISTRY OF STEEL   ,11.05
MINISTRY OF TEXTILES  ,10683.00
MINISTRY OF TOURISM ,2400.00
MINISTRY OF TRIBAL AFFAIRS ,3344.00
MINISTRY OF WOMEN AND CHILD DEVELOPMENT   ,25172.28
MINISTRY OF YOUTH AFFAIRS AND SPORTS ,1363.00
,
GRAND TOTAL,5930129.62
